Column1,original,                              correct
,Okeanda uzurem.,Okeanda üzürəm.
,Turist deyilem.,Turist deyiləm.
,O cihadist idi.,O cihadist idi.
,Qehve soyuqdur.,Qəhvə soyuqdur.
,Bina hundurdur.,Bina hündürdür.
,Onlar bisirler.,Onlar bişirlər.
,Hotel Haradadir?,Hotel Haradadır?
,Dunen evdeydim.,Dünən evdəydim.
,Derhal eve gel.,Dərhal evə gəl.
,Telesmeliyemmi?,Tələsməliyəmmi?
,O bir tulkudur.,O bir tülküdür.
,Bir nefes alin.,Bir nəfəs alın.
,Eve xos geldin.,Evə xoş gəldin.
,Onu bura getir.,Onu bura gətir.
,Gire bileremmi?,Girə bilərəmmi?
,cox uzun qalma.,Çox uzun qalma.
,"O ,axmaq deyil.","O ,axmaq deyil."
,"O, cox qocadir.","O, çox qocadır."
,O cox xestedir.,O çox xəstədir.
,Nece gorunurem.,Necə görünürəm.
,Men gunahkaram.,Mən günahkaram.
,Orada goruserik.,Orada görüşərik.
,Xestexanadayam.,Xəstəxanadayam.
,Otuz yasim var.,Otuz yaşım var.
,Meqlub olursan.,Məğlub olursan.
,İssizlik artir.,İşsizlik artır.
,İndi bisirirem.,İndi bişirirəm.
,Men qazilmisam.,Mən qazılmışam.
,Biz orada idik.,Biz orada idik.
,O Fransada idi.,O Fransada idi.
,Problem yoxdur.,Problem yoxdur.
,Toma dememisem.,Toma deməmişəm.
,Qisasimi aldim.,Qisasımı aldım.
,uc pisiyim var.,Üç pişiyim var.
,Etiraz etmirem.,Etiraz etmirəm.
,Niye gulmursen?,Niyə gülmürsən?
,İstediyini oxu.,İstədiyini oxu.
,Tom muellimdir.,Tom müəllimdir.
,Tom hazirlasir.,Tom hazırlaşır.
,Ananiz evdedir?,Ananız evdədir?
,O seni isteyir.,O səni istəyir.
,O sizi isteyir.,O sizi istəyir.
,Biz komandayiq.,Biz komandayıq.
,Sen haqli idin.,Sən haqlı idin.
,Sen buddistsen?,Sən buddistsən?
,Bu qapilari ac!,Bu qapıları aç!
,Mene uc ay ver.,Mənə üç ay ver.
,Fincan doludur.,Fincan doludur.
,Kitab menimdir.,Kitab mənimdir.
,Secim sizindir.,Seçim sizindir.
,Secim senindir.,Seçim sənindir.
,Men telesmirem.,Mən tələsmirəm.
,Men de gedirem.,Mən də gedirəm.
,Tom dahi deyil.,Tom dahi deyil.
,O size ne dedi?,O sizə nə dedi?
,O sene ne dedi?,O sənə nə dedi?
,"O, Toma inanir.","O, Toma inanır."
,Menimle oturun.,Mənimlə oturun.
,Men Misirdenem.,Mən Misirdənəm.
,Bu alma pisdir.,Bu alma pisdir.
,O alma isteyir.,O alma istəyir.
,Alma isteyirem.,Alma istəyirəm.
,Alma dadli idi.,Alma dadlı idi.
,O Fransadandir.,O Fransadandır.
,Korsika adadir.,Korsika adadır.
,Pisik sud icir.,Pişik süd içir.
,Bu Yaponiyadir.,Bu Yaponiyadır.
,O menden qacir.,O məndən qaçır.
,Bu onun evidir.,Bu onun evidir.
,Tom seni sevir.,Tom səni sevir.
,Tom sizi sevir.,Tom sizi sevir.
,Bu ne demekdir?,Bu nə deməkdir?
,O usaq istemir.,O uşaq istəmir.
,Siz xestesiniz.,Siz xəstəsiniz.
,Men gozlemirem.,Mən gözləmirəm.
,Bu baliq deyil.,Bu balıq deyil.
,O hec aqlamadi.,O heç ağlamadı.
,Mayk gulumsedi.,Mayk gülümsədi.
,Quslar ucurlar.,Quşlar uçurlar.
,Ortadaki menem.,Ortadakı mənəm.
,Tom seni gordu?,Tom səni gördü?
,Siz uyqursunuz?,Siz uyğursunuz?
,O qapini doydu.,O qapını döydü.
,Mektub yaziram.,Məktub yazıram.
,Toy ne vaxtdir?,Toy nə vaxtdır?
,O seni taniyir?,O səni tanıyır?
,O sizi taniyir?,O sizi tanıyır?
,O mektub yazir.,O məktub yazır.
,Qelemin yoxdur?,Qələmin yoxdur?
,Taksi gozleyir.,Taksi gözləyir.
,Men suyu icdim.,Mən suyu içdim.
,Men su icmirem.,Mən su içmirəm.
,Siz kobudsunuz.,Siz kobudsunuz.
,Men et yemirem.,Mən ət yemirəm.
,Artiq seherdir.,Artıq səhərdir.
,Tom onu oxuyur.,Tom onu oxuyur.
,Kitab kohnedir.,Kitab köhnədir.
,Bu vacib deyil.,Bu vacib deyil.
,O biseksualdir.,O biseksualdır.
,Tulku gorursen?,Tülkü görürsən?
,Atalar isleyir.,Atalar işləyir.
,Yubka yasildir.,Yubka yaşıldır.
,Tom yaxsilasir.,Tom yaxşılaşır.
,Ehtiyatli olun!,Ehtiyatlı olun!
,Bu komediyadir.,Bu komediyadır.
,ureyim aqrayir.,Ürəyim ağrayır.
,ureyimi qirdin.,Ürəyimi qırdın.
,O basini yuyur.,O başını yuyur.
,Bunu icmeyeceyem.,Bunu içməyəcəyəm.
,Burnum qasinir.,Burnum qaşınır.
,Burnum tutulub.,Burnum tutulub.
,Tomun biqi var.,Tomun bığı var.
,Men et yeyirem.,Mən ət yeyirəm.
,Senin etin var.,Sənin ətin var.
,Qusmaqim gelir.,Qusmağım gəlir.
,Bu yapalaq idi.,Bu yapalaq idi.
,İsa sizi sevir.,İsa sizi sevir.
,İsa seni sevir.,İsa səni sevir.
,Niye gul aldin?,Niyə gül aldın?
,Sizi tanimiram.,Sizi tanımıram.
,Seni tanimiram.,Səni tanımıram.
,Bes nefer oldu.,Beş nəfər öldü.
,Men yatmaliyam.,Mən yatmalıyam.
,Tom qan itirir.,Tom qan itirir.
,Men diktatoram.,Mən diktatoram.
,Qarpiz almisan?,Qarpız almısan?
,Bu gumus deyil.,Bu gümüş deyil.
,O movcud deyil.,O mövcud deyil.
,Seni dusunurem.,Səni düşünürəm.
,Tom is axtarir.,Tom iş axtarır.
,O nitq soyledi.,O nitq söylədi.
,Radionu sondur.,Radionu söndür.
,Men eve qacdim.,Mən evə qaçdım.
,Onun vaxti var.,Onun vaxtı var.
,Anana qulaq as!,Anana qulaq as!
,Bu muharibedir.,Bu müharibədir.
,sir nerildeyir.,Şir nərildəyir.
,"O, oqlan doqdu.","O, oğlan doğdu."
,"Bunu etme, Tom!","Bunu etmə, Tom!"
,Qan qirmizidir.,Qan qırmızıdır.
,Qeza bas verdi.,Qəza baş verdi.
,"O, oqlan qacir.","O, oğlan qaçır."
,Kofe icirsiniz?,Kofe içirsiniz?
,Pendir saridir.,Pendir sarıdır.
,Hele cox tezdir.,Hələ çox tezdir.
,"O, mesede azib.","O, meşədə azıb."
,casib qalmisam.,Çaşıb qalmışam.
,Qadin cavandir.,Qadın cavandır.
,İsa dulger idi.,İsa dülgər idi.
,Men baslayiram.,Mən başlayıram.
,Biz de qosulaq!,Biz də qoşulaq!
,Sen getmelisen.,Sən getməlisən.
,Bir dene icdim.,Bir dənə içdim.
,Tom gozleyecek.,Tom gözləyəcək.
,"O, tek usaqdir.","O, tək uşaqdır."
,Men muhendisem,Mən mühəndisəm
,Bu ev deyildir.,Bu ev deyildir.
,Tom ezab cekir.,Tom əzab çəkir.
,Mende usaq yox.,Məndə uşaq yox.
,"O, danisqandir.","O, danışqandır."
,Men secilmisem.,Mən seçilmişəm.
,Baki vaxtidir,Bakı vaxtıdır
,xeta aliram,xəta alıram
,İspanya Krali ,İspanya Kralı 
,Sayma bunu,Sayma bunu
,Giris ne vaxtdir,Giriş nə vaxtdır
,Sen duz danis,Sən düz danış
,İleriyi dusunun,İləriyi düşünün
,E-hokumet nedir,E-hökumət nədir
,Kimlik sertleri,Kimlik Şərtləri
,Bu mumkun deyil,Bu mümkün deyil
,Bu duzgun deyil,Bu düzgün deyil
,Sizinle raziyam,Sizinlə razıyam
,Tesekkur edirem,Təşəkkür edirəm
,Cenab Prezident,Cənab Prezident
,Tesekkur edirik,Təşəkkür edirik
,Link Azerbaycan,Link Azərbaycan
,sahinoqlu Aqsin,Şahinoğlu Aqşin
,Elektron İmza ,Elektron İmza 
,teskil etmisdir,təşkil etmişdir
,Esidib ve sinib,Eşidib və sınıb
,Qarabaqa edalet,Qarabağa ədalət
,bulan İsraildir,bulan İsraildir
,heyete getdi,həyətə getdi
,Basqandir,Başqandır
,Belediyye nedir,Bələdiyyə nədir
,Meydan bulaqi ,Meydan bulağı 
,Torpaq meydan ,Torpaq meydan 
,Mirfeseh baqi ,Mirfəseh bağı 
,Sekili bulaqi ,Səkili bulağı 
,Dordler Qurdu ,Dördlər Qurdu 
,Babek Plaza Telefonu,Babək Plaza Telefonu
,Diger meseleler,Digər məsələlər
,Faydali linkler,Faydalı linklər
,Ne isteyirsiniz,Nə istəyirsiniz
,Vaxt isteyirik,Vaxt istəyirik
,baxila biler,baxıla bilər
,Zererceken sexs,Zərərçəkən şəxs
,Finans İnvest ,Finans İnvest 
,Beynelxalq olke,Beynəlxalq ölkə
,Akademiyasinin fexri,Akademiyasının fəxri
,xususiyyetleri ,xüsusiyyətləri 
,ictimai-siyasi ,ictimai-siyasi 
,dissertasiyasi ,dissertasiyası 
,yaxinliqindaki ,yaxınlığındakı 
,medeniyyetinin ,mədəniyyətinin 
,hazirlanmisdir ,hazırlanmışdır 
,hakimiyyetinin ,hakimiyyətinin 
,Azerbaycan filmi ,Azərbaycan filmi 
,musteqilliyini elan etdi,müstəqilliyini elan etdi
,Universitetine ,Universitetinə 
,redaksiyasinda ,redaksiyasında 
,quberniyasinin ,quberniyasının 
,yaradiciliqina ,yaradıcılığına 
,Azerbaycandaki ,Azərbaycandakı 
,gonderilmisdir ,göndərilmişdir 
,Akademiyasinda ,Akademiyasında 
,gosterilmisdir ,göstərilmişdir 
,Komissiyasinin ,Komissiyasının 
,Universitetini ,Universitetini 
,edebiyyatsunas ,ədəbiyyatşünas 
,teserrufatinin ,təsərrüfatının 
,merkezlerinden ,mərkəzlərindən 
,deyisdirilerek ,dəyişdirilərək 
,birlesmesinden ,birləşməsindən 
,muharibesinden ,müharibəsindən 
,Memmedquluzade ,Məmmədquluzadə 
,menteqelerinde ,məntəqələrində 
,iqtisadiyyatin ,iqtisadiyyatın 
,yerlesdirilmis ,yerləşdirilmiş 
,selahiyyetleri ,səlahiyyətləri 
,nezeriyyesinin ,nəzəriyyəsinin 
,yaradilmasinda ,yaradılmasında 
,ekseriyyetinin ,əksəriyyətinin 
,munasibetlerin ,münasibətlərin 
,medeniyyetinde ,mədəniyyətində 
,kecirilmesinde ,keçirilməsində 
,heyvandarliqla ,heyvandarlıqla 
,adlandirmisdir ,adlandırmışdır 
,vetenperverlik ,vətənpərvərlik 
,qehremancasina ,qəhrəmancasına 
,qanunvericilik ,qanunvericilik 
,genislendirmek ,genişləndirmək 
,teserrufatinda ,təsərrüfatında 
,yaradiciliqini ,yaradıcılığını 
,kitabxanasinda ,kitabxanasında 
,hazirlanmasina ,hazırlanmasına 
,formalasmisdir ,formalaşmışdır 
,emeliyyatlarda ,əməliyyatlarda 
,torpaqlarindan ,torpaqlarından 
,sozlerindendir ,sözlərindəndir 
,problemlerinin ,problemlərinin 
,muellimlerinin ,müəllimlərinin 
,adlandirmislar ,adlandırmışlar 
,Respublikasina ,Respublikasına 
,sagirdlerinden ,şagirdlərindən 
,xususiyyetlere ,xüsusiyyətlərə 
,riyaziyyatcisi ,riyaziyyatçısı 
,formalasmasina ,formalaşmasına 
,emeliyyatlarin ,əməliyyatların 
,rehberlerinden ,rəhbərlərindən 
,numunelerinden ,nümunələrindən 
,istiqametlerde ,istiqamətlərdə 
,ehtiyatlarinin ,ehtiyatlarının 
,eleyhisselamin ,əleyhissəlamın 
,tehlukesizliyi ,təhlükəsizliyi 
,ayri-ayriliqda ,ayrı-ayrılıqda 
,simal-serqinde ,şimal-şərqində 
,universitetler ,universitetlər 
,peyqemberlerin ,peyğəmbərlərin 
,meskenlerinden ,məskənlərindən 
,mutexessisleri ,mütəxəssisləri 
,monoqrafiyanin ,monoqrafiyanın 
,deyisikliklere ,dəyişikliklərə 
,deyisdirilmesi ,dəyişdirilməsi 
,adlandirilmasi ,adlandırılması 
,edebiyyatindan ,ədəbiyyatından 
,yaradilmasinin ,yaradılmasının 
,xidmetlerinden ,xidmətlərindən 
,tedqiqatcilari ,tədqiqatçıları 
,munasibetlerde ,münasibətlərdə 
,gostermekdedir ,göstərməkdədir 
,vezifelerinden ,vəzifələrindən 
,proqramlarinin ,proqramlarının 
,mehsullarindan ,məhsullarından 
,hadiselerinden ,hadisələrindən 
,yarpaqlarindan ,yarpaqlarından 
,nesilden-nesle ,nəsildən-nəslə 
,fealiyyetinden ,fəaliyyətindən 
,avtomobillerin ,avtomobillərin 
,emekdaslarinin ,əməkdaşlarının 
,catdirilmisdir ,çatdırılmışdır 
,qazandirmisdir ,qazandırmışdır 
,numayendesidir ,nümayəndəsidir 
,mekteblerinden ,məktəblərindən 
,deyisiklikleri ,dəyişiklikləri 
,demokratiyanin ,demokratiyanın 
,cenub-qerbinde ,cənub-qərbində 
,belediyyesinin ,bələdiyyəsinin 
,Tekmillesdirme ,Təkmilləşdirmə 
,Turkmenistanda ,Türkmənistanda 
,ekseriyyetinde ,əksəriyyətində 
,oldurulmelidir ,öldürülməlidir 
,yetisdirilmesi ,yetişdirilməsi 
,xatirelerinden ,xatirələrindən 
,verilislerinin ,verilişlərinin 
,vasitelerinden ,vasitələrindən 
,qabiliyyetinin ,qabiliyyətinin 
,medeniyyetleri ,mədəniyyətləri 
,informasiyanin ,informasiyanın 
,huceyrelerinin ,hüceyrələrinin 
,gullelenmisdir ,güllələnmişdir 
,Kaliforniyanin ,Kaliforniyanın 
,yetisdirmisdir ,yetişdirmişdir 
,yarimkuresinde ,yarımkürəsində 
,tamamlanmisdir ,tamamlanmışdır 
,quberniyasinda ,quberniyasında 
,profilaktikasi ,profilaktikası 
,materiallardan ,materiallardan 
,istirakcisidir ,iştirakçısıdır 
,inzibati-erazi ,inzibati-ərazi 
,Turkmenistanin ,Türkmənistanın 
,xestexanasinda ,xəstəxanasında 
,terefdarlarina ,tərəfdarlarına 
,texnologiyanin ,texnologiyanın 
,stansiyasindan ,stansiyasından 
,qebiristanliqi ,qəbiristanlığı 
,qarsilanmisdir ,qarşılanmışdır 
,merhelelerinde ,mərhələlərində 
,menteqelerinin ,məntəqələrinin 
,ilahiyyatcilar ,ilahiyyatçılar 
,dunyagorusunun ,dünyagörüşünün 
,dinleyicilerin ,dinləyicilərin 
,ehemiyyetlidir ,əhəmiyyətlidir 
,simal-qerbinde ,şimal-qərbində 
,ohdeliklerinin ,öhdəliklərinin 
,odeyicilerinin ,ödəyicilərinin 
,yerlesdiyinden ,yerləşdiyindən 
,yaxsilasdirmaq ,yaxşılaşdırmaq 
,xesteliklerine ,xəstəliklərinə 
,xesteliklerden ,xəstəliklərdən 
,teskilatciliqi ,təşkilatçılığı 
,tedqiqatcilara ,tədqiqatçılara 
,tedqiqatlarini ,tədqiqatlarını 
,sistemlerinden ,sistemlərindən 
,qeydiyyatindan ,qeydiyyatından 
,planlasdirilir ,planlaşdırılır 
,meskunlasiblar ,məskunlaşıblar 
,kompozisiyanin ,kompozisiyanın 
,kitabxanasinin ,kitabxanasının 
,hokmdarlarinin ,hökmdarlarının 
,gostericisidir ,göstəricisidir 
,gonderilmesini ,göndərilməsini 
,dayandirilmasi ,dayandırılması 
,baslanilmisdir ,başlanılmışdır 
,adet-eneneleri ,adət-ənənələri 
,adlandirilirdi ,adlandırılırdı 
,Qurani-Kerimde ,Qurani-Kərimdə 
,Qaraqoyunlular ,Qaraqoyunlular 
,Mehemmedhuseyn ,Məhəmmədhüseyn 
,Konstitusiyaya ,Konstitusiyaya 
,ehatelenmisdir ,əhatələnmişdir 
,sirvansahlarin ,Şirvanşahların 
,oyrenilmesinde ,öyrənilməsində 
,vetendaslarina ,vətəndaşlarına 
,saxlanilmisdir ,saxlanılmışdır 
,redaksiyasinin ,redaksiyasının 
,nezeriyyesinde ,nəzəriyyəsində 
,meqlubiyyetden ,məğlubiyyətdən 
,muveffeqiyyeti ,müvəffəqiyyəti 
,mukafatcisidir ,mükafatçısıdır 
,laboratoriyasi ,laboratoriyası 
,kompyuterlerin ,kompyuterlərin 
,ixtisasartirma ,ixtisasartırma 
,identifikasiya ,identifikasiya 
,gimnaziyasinda ,gimnaziyasında 
,elementlerinin ,elementlərinin 
,duzeldilmisdir ,düzəldilmişdir 
,birlesdirilmis ,birləşdirilmiş 
,askarlanmisdir ,aşkarlanmışdır 
,arasdirmacilar ,araşdırmaçılar 
,Zaqafqaziyanin ,Zaqafqaziyanın 
,Konstantinopol ,Konstantinopol 
,Dostoyevskinin ,Dostoyevskinin 
,Cavansir-Dizaq ,Cavanşir-Dizaq 
,edebiyyatlarda ,ədəbiyyatlarda 
,sexsiyyetlerin ,şəxsiyyətlərin 
,yarimmudafieci ,yarımmüdafiəçi 
,vilayetlerinde ,vilayətlərində 
,telebelerinden ,tələbələrindən 
,texnologiyalar ,texnologiyalar 
,sehifelerinden ,səhifələrindən 
,suretlendirmek ,sürətləndirmək 
,standartlarina ,standartlarına 
,qaldirilmasina ,qaldırılmasına 
,perspektivleri ,perspektivləri 
,merasimlerinin ,mərasimlərinin 
,memulatlarinin ,məmulatlarının 
,muelliflerinin ,müəlliflərinin 
,muselmanlardan ,müsəlmanlardan 
,mohkemlendirdi ,möhkəmləndirdi 
,konstruksiyasi ,konstruksiyası 
,kompaniyasinin ,kompaniyasının 
,istiqametinden ,istiqamətindən 
,hereketlerinde ,hərəkətlərində 
,heykelterasliq ,heykəltəraşlıq 
,genislenmesine ,genişlənməsinə 
,fakultelerinde ,fakültələrində 
,cenub-serqinde ,cənub-şərqində 
,bestelenmisdir ,bəstələnmişdir 
,azadliqlarinin ,azadlıqlarının 
,avadanliqlarin ,avadanlıqların 
,arasdirmalarin ,araşdırmaların 
,Seminariyasina ,Seminariyasına 
,Qurani-Kerimin ,Qurani-Kərimin 
,Portuqaliyanin ,Portuqaliyanın 
,Konstitusiyasi ,Konstitusiyası 
,esirgememisdir ,əsirgəməmişdir 
,emirel-mominin ,Əmirəl-möminin 
,ozunuidareetme ,özünüidarəetmə 
,yazicilarindan ,yazıçılarından 
,yatirilmasinda ,yatırılmasında 
,vetendasliqini ,vətəndaşlığını 
,serhedlerinden ,sərhədlərindən 
,saxlanilmasina ,saxlanılmasına 
,qebilelerinden ,qəbilələrindən 
,qurucularindan ,qurucularından 
,qabiliyyetleri ,qabiliyyətləri 
,proqramlarinda ,proqramlarında 
,perpendikulyar ,perpendikulyar 
,parcalanmisdir ,parçalanmışdır 
,nezeriyyelerin ,nəzəriyyələrin 
,mensubiyyetine ,mənsubiyyətinə 
,mifologiyasina ,mifologiyasına 
,kecirilmesinin ,keçirilməsinin 
,istirakcilarin ,iştirakçıların 
,hereketlerinin ,hərəkətlərinin 
,hazirlanmasini ,hazırlanmasını 
,hazirladiqlari ,hazırladıqları 
,gozelliklerini ,gözəlliklərini 
,gosterislerine ,göstərişlərinə 
,funksiyalarini ,funksiyalarını 
,doyusculerinin ,döyüşçülərinin 
,bir-birlerinin ,bir-birlərinin 
,bildirmisdiler ,bildirmişdilər 
,Respublikasini ,Respublikasını 
,İbrahimbeyovun ,İbrahimbəyovun 
,ziyalilarindan ,ziyalılarından 
,yoldaslarindan ,yoldaşlarından 
,yeniyetmelerin ,yeniyetmələrin 
,yaxinlasdiqini ,yaxınlaşdığını 
,teskilatlarina ,təşkilatlarına 
,teserrufatlari ,təsərrüfatları 
,terefdarlarini ,tərəfdarlarını 
,tapsiriqlarini ,tapşırıqlarını 
,senetkarlardan ,sənətkarlardan 
,simpoziumlarda ,simpoziumlarda 
,seminariyasini ,seminariyasını 
,resedxanasinda ,rəsədxanasında 
,qiymetlendirir ,qiymətləndirir 
,prinsiplerinin ,prinsiplərinin 
,parametrlerini ,parametrlərini 
,meselelerinden ,məsələlərindən 
,menimsenilmesi ,mənimsənilməsi 
,muessiselerine ,müəssisələrinə 
,muxtelifliyine ,müxtəlifliyinə 
,musteqilliyine ,müstəqilliyinə 
,mubarizesinden ,mübarizəsindən 
,konsepsiyasini ,konsepsiyasını 
,iqtisadiyyatda ,iqtisadiyyatda 
,infrastrukturu ,infrastrukturu 
,imtahanlarinda ,imtahanlarında 
,huquq-muhafize ,hüquq-mühafizə 
,elektrotexnika ,elektrotexnika 
,derinliklerine ,dərinliklərinə 
,dusmenlerinden ,düşmənlərindən 
,behrelenmisdir ,bəhrələnmişdir 
,birinciliyinin ,birinciliyinin 
,bir-birleriyle ,bir-birləriylə 
,bildirilmisdir ,bildirilmişdir 
,baslanqicindan ,başlanğıcından 
,baqislanmasini ,bağışlanmasını 
,aqsaqqallarina ,ağsaqqallarına 
,Naxcivanskinin ,Naxçıvanskinin 
,Kollegiyasinin ,Kollegiyasının 
,Gulustani-İrem ,Gülüstani-İrəm 
,elaqelendirmek ,əlaqələndirmək 
,ehemiyyetinden ,əhəmiyyətindən 
,encumeni-suera ,Əncüməni-şüəra 
,seherlerindeki ,şəhərlərindəki 
,sirketlerinden ,şirkətlərindən 
,İsraillilerden ,İsraillilərdən 
,İsgenderiyyede ,İsgəndəriyyədə 
,İnformatikanin ,İnformatikanın 
,cetinliklerden ,çətinliklərdən 
,zenginlesdirir ,zənginləşdirir 
,yayimlanmisdir ,yayımlanmışdır 
,xestexanasinin ,xəstəxanasının 
,vetendasliqina ,vətəndaşlığına 
,valideynlerine ,valideynlərinə 
,uyqunlasmisdir ,uyğunlaşmışdır 
,tecrubelerinde ,təcrübələrində 
,tapsirilmisdir ,tapşırılmışdır 
,soylediklerine ,söylədiklərinə 
,respublikalari ,respublikaları 
,qehremanliqlar ,qəhrəmanlıqlar 
,qurbanlarindan ,qurbanlarından 
,qurasdirilmasi ,quraşdırılması 
,qidalanmasinda ,qidalanmasında 
,planlasdirirdi ,planlaşdırırdı 
,neticelerinden ,nəticələrindən 
,mehdudiyyetler ,məhdudiyyətlər 
,muzakirelerden ,müzakirələrdən 
,mutexessislere ,mütəxəssislərə 
,mohkemlendirir ,möhkəmləndirir 
,materiallarina ,materiallarına 
,konsertlerinde ,konsertlərində 
,klassiklerinin ,klassiklərinin 
,kecirilmelidir ,keçirilməlidir 
,karbohidratlar ,karbohidratlar 
,isteyirsinizse ,istəyirsinizsə 
,islahatlarinin ,islahatlarının 
,ictimaiyyetine ,ictimaiyyətinə 
,hokmranliqinin ,hökmranlığının 
,gostericilerin ,göstəricilərin 
,ferqlendirilir ,fərqləndirilir 
,fealiyyetdedir ,fəaliyyətdədir 
,bolusdurulmesi ,bölüşdürülməsi 
,birlesmelerine ,birləşmələrinə 
,aydinlasdirmaq ,aydınlaşdırmaq 
,almanaxlarinda ,almanaxlarında 
,aktyorlarindan ,aktyorlarından 
,Sefevi-Osmanli ,Səfəvi-Osmanlı 
,Olimpiadasinda ,Olimpiadasında 
,Konstantinovic ,Konstantinoviç 
,Aqqoyunlularin ,Ağqoyunluların 
,Azerbaycaninin ,Azərbaycanının 
,esaslandirmaqa ,əsaslandırmağa 
,elametlerinden ,əlamətlərindən 
,İqtisadiyyatin ,İqtisadiyyatın 
,İctimai-siyasi ,İctimai-siyasi 
,ozellesdirilen ,özəlləşdirilən 
,ozbasinaliqina ,özbaşınalığına 
,yuksekliklerde ,yüksəkliklərdə 
,yetirilmesinin ,yetirilməsinin 
,yerlesdirirler ,yerləşdirirlər 
,yandirilmisdir ,yandırılmışdır 
,xidmetcilerine ,xidmətçilərinə 
,xanliqlarindan ,xanlıqlarından 
,vilayetlerinin ,vilayətlərinin 
,verilislerinde ,verilişlərində 
,tedqiqatlardan ,tədqiqatlardan 
,toponimlerinin ,toponimlərinin 
,siyasi-ictimai ,siyasi-ictimai 
,simvollarindan ,simvollarından 
,simpoziumlarin ,simpoziumların 
,sakitlesdirmek ,sakitləşdirmək 
,sakitlesdirici ,sakitləşdirici 
,rusvayciliqini ,rüsvayçılığını 
,qehremanimizin ,qəhrəmanımızın 
,quruluslarinda ,quruluşlarında 
,qurbanlarinizi ,qurbanlarınızı 
,qiymetlendiren ,qiymətləndirən 
,qiymetlendirib ,qiymətləndirib 
,qeyri-muselman ,qeyri-müsəlman 
,qaldirilmisdir ,qaldırılmışdır 
,numayendesinin ,nümayəndəsinin 
,meslehetlerine ,məsləhətlərinə 
,merasimlerinde ,mərasimlərində 
,mehdudlasdiran ,məhdudlaşdıran 
,munasibetinden ,münasibətindən 
,movcudluqundan ,mövcudluğundan 
,mohkemlendiren ,möhkəmləndirən 
,metodologiyasi ,metodologiyası 
,kriminalistika ,kriminalistika 
,jurnalistikaya ,jurnalistikaya 
,ittifaqlarinin ,ittifaqlarının 
,istifadecilere ,istifadəçilərə 
,istifadecileri ,istifadəçiləri 
,informasiyalar ,informasiyalar 
,imperatorlarin ,imperatorların 
,hemmuellifidir ,həmmüəllifidir 
,huceyrelerinde ,hüceyrələrində 
,hokmdarliqinin ,hökmdarlığının 
,hisseciklerden ,hissəciklərdən 
,gosterilmesini ,göstərilməsini 
,futbolculardan ,futbolçulardan 
,etdirilmesinin ,etdirilməsinin 
,deyisdirmisdir ,dəyişdirmişdir 
,deqiqlesdirmek ,dəqiqləşdirmək 
,dusergelerinde ,düşərgələrində 
